rowID,dstID,gameID,game_date,opp,pa,sack,interception,dfr,blocked_kicks,safety,krtd,prtd,intrettd,fumrettd,blkrettd,fgrettd,deftd,subtotal,ptnet,total
1,1,1,1985-09-08,TB,28,2,1,0,0,0,0,0,1,0,0,0,1,10,-1,9
2,1,2,1985-09-15,NE,7,6,3,1,0,0,0,0,0,0,0,0,0,14,4,18
3,1,3,1985-09-19,MIN,24,4,3,2,0,0,0,0,0,0,0,0,0,14,0,14
4,1,4,1985-09-29,WAS,10,4,2,1,0,0,1,0,0,0,0,0,0,16,4,20
5,1,5,1985-10-06,TB,19,0,2,1,0,0,0,0,0,0,0,0,0,6,1,7
6,1,6,1985-10-13,SF,10,7,0,2,0,0,0,0,0,0,0,0,0,11,4,15
7,1,7,1985-10-21,GB,7,5,4,1,0,0,0,0,0,0,0,0,0,15,4,19
8,1,8,1985-10-27,MIN,9,4,5,0,0,0,0,0,1,0,0,0,1,20,4,24
9,1,9,1985-11-03,GB,10,3,1,0,0,1,0,0,0,0,0,0,0,7,4,11
10,1,10,1985-11-10,DET,3,4,2,2,0,0,0,0,0,0,0,0,0,12,7,19
11,1,11,1985-11-17,DAL,0,6,4,1,0,0,0,0,2,0,0,0,2,28,10,38
12,1,12,1985-11-24,ATL,0,5,2,1,0,1,0,0,0,0,0,0,0,13,10,23
13,1,13,1985-12-02,MIA,38,3,1,1,0,0,0,0,0,0,0,0,0,7,-4,3
14,1,14,1985-12-08,IND,10,1,0,0,0,0,0,0,0,0,0,0,0,1,4,5
15,1,15,1985-12-14,NYJ,6,4,0,3,0,0,0,0,0,0,0,0,0,10,7,17
16,1,16,1985-12-22,DET,17,6,3,4,0,0,1,0,0,1,0,0,1,32,1,33
17,2,1,1950-09-16,PHI,10,2,3,2,0,0,0,0,0,0,0,0,0,12,4,16
18,2,2,1950-09-24,IND,0,0,4,0,0,0,0,0,0,0,0,0,0,8,10,18
19,2,3,1950-10-01,NYG,6,0,0,1,0,0,0,0,0,0,0,0,0,2,7,9
20,2,4,1950-10-07,PIT,17,0,1,5,0,1,0,0,0,0,0,0,0,14,1,15
21,2,5,1950-10-15,AZ,24,0,2,0,0,0,0,0,0,0,0,0,0,4,0,4
22,2,6,1950-10-22,NYG,17,1,1,3,0,0,0,0,0,0,0,0,0,9,1,10
23,2,7,1950-10-29,PIT,7,0,6,2,0,0,0,0,0,0,0,0,0,16,4,20
24,2,8,1950-11-05,AZ,7,0,4,1,0,0,0,0,0,0,0,0,0,10,4,14
25,2,9,1950-11-12,SF,14,0,3,6,0,0,0,0,0,0,0,0,0,18,1,19
26,2,10,1950-11-19,WAS,14,0,2,1,0,0,0,0,0,0,0,0,0,6,1,7
27,2,11,1950-12-03,PHI,7,0,2,2,0,0,0,0,1,0,0,0,1,14,4,18
28,2,12,1950-12-10,WAS,21,2,3,1,0,0,0,1,1,0,0,0,1,22,0,22
29,2,13,1951-09-30,SF,24,3,1,3,0,0,0,0,0,0,0,0,0,11,0,11
