playerID,teamID,posID,player_first,player_last,jersey,fppg,salary
1,1,1,Jake,Plummer,16,13.80,4800
2,2,1,Jim ,McMahon,9,13.85,4900
3,3,1,Brett,Favre,4,16.58,5800
4,4,1,Phil,Simms,11,14.38,5000
5,5,1,Scott ,Mitchell,19,17.41,6100
6,6,1,Mark,Rypien,11,17.37,6100
7,7,1,Donovan,McNabb,5,20.09,7000
8,8,1,Terry ,Bradshaw,12,10.64,3700
9,9,1,Kurt,Warner,13,22.06,7700
10,10,1,Joe ,Montana,16,19.64,6900
11,11,1,Bernie,Kosar,19,13.98,4900
12,12,1,Peyton,Manning,18,17.97,6300
13,13,1,Troy,Aikman,8,10.86,3800
14,14,1,Len,Dawson,16,15.63,5500
15,15,1,Dan ,Fouts,14,15.91,5600
16,16,1,John ,Elway,7,14.13,5000
17,17,1,Joe ,Namath,12,13.92,4900
18,18,1,Drew ,Bledsoe,11,17.89,6300
19,19,1,Ken,Stabler,12,13.01,4600
20,20,1,Steve,McNair,9,15.93,5600
21,21,1,Jim,Kelly,12,15.22,5300
22,22,1,Fran,Tarkenton,10,13.86,4900
23,23,1,Michael,Vick,7,16.70,5800
24,24,1,Dan,Marino,13,17.39,6100
25,25,1,Aaron,Brooks,2,17.25,6000
26,26,1,Boomer,Esiason,7,19.55,6800
27,27,1,Dave,Krieg,17,17.87,6300
28,28,1,Vinny,Testaverde,14,13.52,4700
29,29,1,Jake,Delhomme,17,13.58,4800
30,30,1,Mark,Brunell,8,14.70,5100
31,31,1,Kyle,Boller,7,13.01,4600
32,32,1,Warren,Moon,1,16.48,5800
