rowID,playerID,gameID,Year,Date,G#,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,TD,Pts,KRt,KRYds,Y/Rt,KRTD,PRet,PRYds,Y/R,PRTD,PassBonus,RushBonus,RecBonus,FPTs,
,33,1,1979,9/2/1979,1,22-226,STL,,DAL,L 21-22,21,193,9.19,1,,0,0,,0,,,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,0,0,0,3,0,28.3,23.3
,33,2,1981,11/15/1981,11,24-300,STL,,BUF,W 24-0,27,177,6.56,2,,3,9,3,0,,,0,0,,0,0,0,,,,,,2,12,,,,,,,,,0,3,0,36.6,
,33,3,1980,11/30/1980,13,23-316,STL,@,NYG,W 23-7,31,168,5.42,2,,0,0,,0,,,0,0,,0,0,0,,0,0,,,2,12,,,,,,,,,0,3,0,31.8,
,33,4,1979,11/4/1979,10,22-289,STL,,MIN,W 37-7,25,164,6.56,1,,3,33,11,1,,,0,0,,0,0,0,,0,0,,,2,12,,,,,,,,,0,3,0,37.7,
,33,5,1983,12/18/1983,16,26-333,STL,,PHI,W 31-7,23,156,6.78,1,,2,8,4,0,,,0,0,,0,0,0,,,,,,1,6,,,,,,,,,0,3,0,27.4,
,33,6,1980,9/28/1980,4,23-253,STL,,PHI,W 24-14,27,151,5.59,2,,1,6,6,0,,,0,0,,0,0,0,,0,0,,,2,12,,,,,,,,,0,3,0,31.7,
,33,7,1979,12/9/1979,15,22-324,STL,,NYG,W 29-20,29,140,4.83,2,,3,28,9.33,0,,,0,0,,0,0,0,,0,0,,,2,12,,,,,,,,,0,3,0,34.8,
,33,8,1983,10/30/1983,9,26-284,STL,,MIN,W 41-31,24,136,5.67,1,,3,23,7.67,0,,,0,0,,0,0,0,,,,,,1,6,,,,,,,,,0,3,0,27.9,
,33,9,1984,12/2/1984,14,27-318,STL,@,NWE,W 33-10,30,136,4.53,1,,3,35,11.67,0,,,0,0,,0,0,0,,,,,,1,6,,,,,,,,,0,3,0,29.1,
,33,10,1983,9/25/1983,4,26-249,STL,@,PHI,W 14-11,29,133,4.59,0,,2,13,6.5,0,,,0,0,,0,0,0,,,,,,0,0,,,,,,,,,0,3,0,19.6,
,33,11,1985,11/4/1985,9,28-289,STL,,DAL,W 21-10,11,-10,-0.91,0,,1,4,4,0,,,0,0,,0,0,0,,,,,,0,0,,,,,,,,,0,0,0,0.4,
,33,12,1984,12/16/1984,16,27-332,STL,@,WAS,L 27-29,12,24,2,0,,12,124,10.33,0,,,0,0,,0,0,0,,,,,,0,0,,,,,,,,,0,0,3,29.8,
,33,13,1983,9/11/1983,2,26-235,STL,,DAL,L 17-34,13,25,1.92,0,,3,30,10,0,,,0,0,,0,0,0,,,,,,0,0,,,,,,,,,0,0,0,8.5,
,33,14,1982,9/19/1982,2,25-243,STL,,DAL,L 7-24,17,30,1.76,0,,4,26,6.5,0,,,0,0,,0,0,0,,,,,,0,0,,,,,,,,,0,0,0,9.6,
,33,15,1982,1/2/1983,9,25-348,STL,@,WAS,L 0-28,10,31,3.1,0,,1,6,6,0,,,0,0,,0,0,0,,,,,,0,0,,,,,,,,,0,0,0,4.7,
,33,16,1986,9/7/1986,1,29-231,STL,,RAM,L 10-16,10,31,3.1,1,,3,28,9.33,0,,,0,0,,0,0,0,,,,,,1,6,,,,,,,,,0,0,0,14.9,
,34,1,2011,11/27/2011,11,23-112,ARI,@,STL,W 23-20,27,228,8.44,1,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,3,0,31.8,12.36
,34,2,2011,10/2/2011,4,23-056,ARI,,NYG,L 27-31,27,138,5.11,3,2,0,0,,0,0.00%,1/0/1900,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,3,0,34.8,
,34,3,2009,12/20/2009,14,21-135,ARI,@,DET,W 31-24,17,110,6.47,1,2,1,13,13,0,50.00%,1/6/1900,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,3,0,22.3,
,34,4,2011,9/18/2011,2,23-042,ARI,@,WAS,L 21-22,14,93,6.64,1,2,0,0,,0,0.00%,1/0/1900,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,15.3,
,34,5,2011,9/11/2011,1,23-035,ARI,,CAR,W 28-21,18,90,5,1,4,4,12,3,0,100.00%,1/3/1900,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,20.2,
,34,6,2009,11/15/2009,9,21-100,ARI,,SEA,W 31-20,16,85,5.31,2,2,2,32,16,0,100.00%,1/16/1900,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,25.7,
,34,7,2011,10/30/2011,7,23-084,ARI,@,BAL,L 27-30,22,83,3.77,1,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,14.3,
,34,8,2009,12/14/2009,13,21-129,ARI,@,SFO,L 9-24,15,79,5.27,1,1,1,24,24,0,100.00%,1/24/1900,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,17.3,
,34,9,2010,9/26/2010,3,22-050,ARI,,OAK,W 24-23,14,75,5.36,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,7.5,
,34,10,2009,11/22/2009,10,21-107,ARI,@,STL,W 21-13,14,74,5.29,1,3,2,11,5.5,0,66.70%,1/3/1900,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,16.5,
,34,11,2011,11/6/2011,8,23-091,ARI,,STL,W 19-13,10,20,2,0,2,2,13,6.5,0,100.00%,1/6/1900,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,5.3,
,34,12,2012,12/2/2012,12,24-117,ARI,@,NYJ,L 6-7,15,22,1.47,0,0,0,0,,0,0.00%,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,2.2,
,34,13,2011,12/11/2011,13,23-126,ARI,,SFO,W 21-19,15,27,1.8,0,1,1,3,3,0,100.00%,1/3/1900,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,4,
,34,14,2009,12/6/2009,12,21-121,ARI,,MIN,W 30-17,13,28,2.15,0,0,0,0,,0,0.00%,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,2.8,
,34,15,2009,10/18/2009,5,21-072,ARI,@,SEA,W 27-3,12,29,2.42,0,1,1,7,7,0,100.00%,1/7/1900,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,4.6,
,34,16,2010,10/10/2010,5,22-064,ARI,,NOR,W 30-20,20,35,1.75,0,1,1,5,5,0,100.00%,1/5/1900,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,5,
,35,1,1977,11/20/1977,10,23-118,CHI,,MIN,W 10-7,40,275,6.88,1,,1,6,6,0,,,0,0,,0,0,0,,0,0,,,,,,,,,,,,,0,3,0,38.1,24.88
,35,2,1977,10/30/1977,7,23-097,CHI,@,GNB,W 26-0,23,205,8.91,2,,1,5,5,0,,,0,0,,0,0,0,,0,0,,,,,,,,,,,,,0,3,0,37,
,35,3,1977,11/13/1977,9,23-111,CHI,,KAN,W 28-27,33,192,5.82,3,,1,29,29,0,,,0,0,,0,0,0,,0,0,,,,,,,,,,,,,0,3,0,44.1,
,35,4,1985,11/3/1985,9,31-101,CHI,@,GNB,W 16-10,28,192,6.86,1,,3,14,4.67,0,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,0,3,0,32.6,
,35,5,1976,12/5/1976,13,22-133,CHI,@,SEA,W 34-7,27,183,6.78,0,,2,30,15,0,,,0,0,,0,0,0,,0,0,,,,,,,,,,,,,0,3,0,26.3,
,35,6,1980,9/14/1980,2,26-051,CHI,,NOR,W 22-3,18,183,10.17,1,,3,26,8.67,0,,,0,0,,0,0,0,,0,0,,,,,,,,,,,,,0,3,0,32.9,
,35,7,1979,9/9/1979,2,25-046,CHI,,MIN,W 26-7,23,182,7.91,2,,3,14,4.67,0,,,0,0,,0,0,0,,0,0,,,,,,,,,,,,,0,3,0,37.6,
,35,8,1984,9/9/1984,2,30-046,CHI,,DEN,W 27-0,20,179,8.95,1,,2,7,3.5,0,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,0,3,0,29.6,
,35,9,1981,11/26/1981,13,27-124,CHI,@,DAL,L 9-10,38,179,4.71,0,,2,4,2,0,,,0,1,0,0,0,0,39.6,0,0,,,,,,,,,,,,,0,3,0,23.3,
,35,10,1986,9/14/1986,2,32-051,CHI,,PHI,W 13-10,34,177,5.21,1,,1,-2,-2,0,,,0,2,0,0,0,1,0,0,0,,,,,,,,,,,,,0,3,0,26.5,
,35,11,1975,10/12/1975,4,21-079,CHI,@,DET,L 7-27,10,0,0,0,,4,3,0.75,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4.3,
